"Cluster","Gene","Expression"
"g1","Cst3",22.4630963073852
"g1","Malat1",19.5750301753015
"g1","Tmsb4x",18.1999279239005
"g1","C1qa",17.0277948678889
"g1","C1qb",16.6884146187653
"g2","Malat1",20.205791738405
"g2","Tmsb4x",19.2443964082727
"g2","Cst3",17.1694576919538
"g2","Cd74",17.1330822374277
"g2","mt-Atp6",17.1222456777619
"g3","Cst3",21.8161355519516
"g3","Malat1",19.5804751554856
"g3","Tmsb4x",17.2462594702138
"g3","Hexb",16.5845992581657
"g3","C1qa",16.202965378109
"g4","Cst3",22.4904417208286
"g4","Tmsb4x",19.38051074442
"g4","mt-Atp6",17.4506569955252
"g4","C1qa",17.3934671874115
"g4","Malat1",17.2001564174736
"g5","Cst3",23.2627851132447
"g5","Malat1",19.5673152610895
"g5","Tmsb4x",18.7314685774069
"g5","C1qa",17.1517775742553
"g5","C1qb",16.8538912769453
"g6","Cst3",22.5199644891625
"g6","Malat1",19.6436989442783
"g6","Tmsb4x",17.9944262079817
"g6","C1qa",16.6049792321815
"g6","Hexb",16.4783553193896
