"Cluster","Gene","Expression"
"g0","Cst3",21.6699087393287
"g0","Malat1",20.0697064438457
"g0","Tmsb4x",16.9134039855236
"g0","Hexb",16.7589808607458
"g0","C1qa",16.3258710959949
"g1","Cst3",22.3827433487269
"g1","Malat1",19.9338270611191
"g1","Tmsb4x",17.7773705560507
"g1","Hexb",16.8302303164704
"g1","C1qa",16.5763179396969
"g2","Cst3",26.0166355169949
"g2","Malat1",21.1384792209805
"g2","Tmsb4x",20.8530726694617
"g2","C1qa",18.9841970049731
"g2","C1qb",18.7275784043706
"g3","Cst3",21.6978353777443
"g3","Malat1",19.1837899847074
"g3","Tmsb4x",17.6174660516032
"g3","C1qa",16.4218254069259
"g3","C1qb",16.1200537027223
"g4","Cst3",23.1745160339588
"g4","Malat1",19.058218968045
"g4","Tmsb4x",18.9304754705874
"g4","C1qa",17.0668711903661
"g4","mt-Atp6",16.9038640022472
"g5","Cst3",20.7388535166045
"g5","Malat1",18.2157733402023
"g5","Tmsb4x",16.7165652053248
"g5","Hexb",15.4012336832617
"g5","C1qa",15.3664515905184
"g6","Cst3",22.1282663201284
"g6","Malat1",19.1173884062827
"g6","Tmsb4x",17.6315313316285
"g6","mt-Atp6",16.3460438522753
"g6","C1qa",16.3199981710642
"g7","Cst3",22.7192688420296
"g7","Malat1",19.4868783610901
"g7","Tmsb4x",18.1990052443099
"g7","C1qa",16.8090261683041
"g7","Hexb",16.7052454553576
"g8","Cst3",22.1776736292088
"g8","Tmsb4x",19.772336425208
"g8","Malat1",18.268124616869
"g8","C1qa",17.5374687100067
"g8","C1qb",17.3302951178742
"g9","Cst3",22.1888423943115
"g9","Malat1",18.8793044507244
"g9","Tmsb4x",17.986962464029
"g9","C1qa",16.9445979385492
"g9","C1qb",16.6556338289796
"g10","Cst3",20.627725147133
"g10","Malat1",18.1729821407877
"g10","Tmsb4x",17.0436387889624
"g10","mt-Atp6",15.6810730615826
"g10","C1qa",15.3995130737807
"g11","Cst3",18.2973509192848
"g11","Malat1",17.0634321965224
"g11","Tmsb4x",14.4988119171268
"g11","Hexb",13.9690326470603
"g11","C1qa",13.675651245839
"g12","Apoe",22.5976418262664
"g12","Malat1",21.7427169150835
"g12","Cd74",21.2826048002259
"g12","Tmsb4x",20.959149593204
"g12","Fth1",18.8318763452828
"g13","Cst3",34.7716056865574
"g13","Tmsb4x",29.9717728603675
"g13","mt-Atp6",27.0949851565191
"g13","C1qb",25.788471968197
"g13","C1qa",25.5627240801717
"g14","Tmsb4x",20.7761095328617
"g14","Cd74",19.5090112856876
"g14","Malat1",18.2268874935775
"g14","Actb",17.48642517993
"g14","Cst3",16.4889993339088
"g15","Malat1",20.8709449720874
"g15","mt-Atp6",17.8657972007198
"g15","mt-Co2",16.5052128362489
"g15","mt-Co1",16.3157369607179
"g15","Tmsb4x",16.2208299775357
"g16","Malat1",17.021737519126
"g16","Tmsb4x",15.1700407023011
"g16","mt-Atp6",14.0751107495385
"g16","Bsg",13.9160694322039
"g16","mt-Co2",13.0210560270388
