"Cluster","Gene","Expression"
"c1","Cst3",23.0995953004183
"c1","Malat1",20.3115510400463
"c1","Tmsb4x",18.2860138261043
"c1","Hexb",17.2376471119267
"c1","C1qa",17.1348312880945
"c10","Cst3",22.1282663201284
"c10","Malat1",19.1173884062827
"c10","Tmsb4x",17.6315313316285
"c10","mt-Atp6",16.3460438522753
"c10","C1qa",16.3199981710642
"c2","Cst3",22.1065415874092
"c2","Malat1",18.9037184463253
"c2","Tmsb4x",18.1069839336435
"c2","C1qa",16.5973523470318
"c2","C1qb",16.3613607200519
"c3","Cst3",20.627725147133
"c3","Malat1",18.1729821407877
"c3","Tmsb4x",17.0436387889624
"c3","mt-Atp6",15.6810730615826
"c3","C1qa",15.3995130737807
"c4","Cst3",18.2973509192848
"c4","Malat1",17.0634321965224
"c4","Tmsb4x",14.4988119171268
"c4","Hexb",13.9690326470603
"c4","C1qa",13.675651245839
"c5","Apoe",22.5976418262664
"c5","Malat1",21.7427169150835
"c5","Cd74",21.2826048002259
"c5","Tmsb4x",20.959149593204
"c5","Fth1",18.8318763452828
"c6","Cst3",34.7716056865574
"c6","Tmsb4x",29.9717728603675
"c6","mt-Atp6",27.0949851565191
"c6","C1qb",25.788471968197
"c6","C1qa",25.5627240801717
"c7","Tmsb4x",20.7761095328617
"c7","Cd74",19.5090112856876
"c7","Malat1",18.2268874935775
"c7","Actb",17.48642517993
"c7","Cst3",16.4889993339088
"c8","Malat1",17.021737519126
"c8","Tmsb4x",15.1700407023011
"c8","mt-Atp6",14.0751107495385
"c8","Bsg",13.9160694322039
"c8","mt-Co2",13.0210560270388
"c9","Malat1",20.8709449720874
"c9","mt-Atp6",17.8657972007198
"c9","mt-Co2",16.5052128362489
"c9","mt-Co1",16.3157369607179
"c9","Tmsb4x",16.2208299775357
