"Cluster","Gene","Expression"
"g1","Malat1",18.7861276066304
"g1","Apoe",16.8699572809095
"g1","Cst3",16.6280474956746
"g1","mt-Atp6",15.3883057393505
"g1","Tmsb4x",14.6764263940522
"g2","Cd74",21.3182339131242
"g2","Malat1",21.212890235294
"g2","Tmsb4x",20.8897625288015
"g2","mt-Atp6",18.016621603593
"g2","Fth1",17.668777905861
"g3","Malat1",16.8936074315278
"g3","Tmsb4x",15.2736849022995
"g3","mt-Atp6",14.1281621946006
"g3","Bsg",13.8279289990422
"g3","mt-Co2",13.0940085642263
"g4","Cst3",21.3768140010916
"g4","Malat1",18.6883502226638
"g4","Tmsb4x",17.6145789229913
"g4","C1qa",16.4114316433139
"g4","C1qb",16.1101255446482
"g5","Cst3",22.387159781865
"g5","Malat1",20.0285690232643
"g5","Tmsb4x",17.7006610358167
"g5","Hexb",16.9156981708259
"g5","C1qa",16.6165206836981
"g6","Cst3",21.8970184702731
"g6","Malat1",18.6130273579709
"g6","Tmsb4x",17.7969775914091
"g6","C1qa",16.1657020910192
"g6","mt-Atp6",15.9850384141615
"g7","Cst3",20.509685134736
"g7","Malat1",19.1409524528929
"g7","Tmsb4x",16.1436044969272
"g7","Hexb",15.8183938783937
"g7","C1qa",15.4355245070151
"g8","Cst3",20.4116538789382
"g8","Malat1",18.0197911017439
"g8","Tmsb4x",16.8336486387558
"g8","mt-Atp6",15.5997259712476
"g8","C1qa",15.2197115489101
"g9","Cst3",26.2010345365667
"g9","Tmsb4x",21.2060691202025
"g9","Malat1",20.2918127351846
"g9","C1qa",19.2025322767562
"g9","C1qb",18.9903464940374
"g10","Cst3",21.8829291712365
"g10","Tmsb4x",20.6759874654278
"g10","Fth1",19.4169098720825
"g10","Apoe",19.4055233896476
"g10","mt-Atp6",17.9294832126863
"g11","Cst3",23.2724009004217
"g11","Malat1",20.0418268928672
"g11","Tmsb4x",18.5497043202348
"g11","C1qa",17.2854892515629
"g11","Hexb",17.0809506377428
