"Cluster","Gene","Expression"
"g0","Cst3",653.431115133334
"g0","Malat1",574.729426805079
"g0","Hexb",160.014474620458
"g0","Tmsb4x",127.417542856887
"g0","C1qa",116.369309601132
"g1","Cst3",646.38767450497
"g1","Malat1",533.433636779998
"g1","Hexb",175.21170658098
"g1","Tmsb4x",155.390233278682
"g1","C1qa",136.270093544467
"g2","Apoe",409.908422678569
"g2","Ftl1",184.576581038058
"g2","Tmsb4x",176.944270542964
"g2","Cst3",168.997408434067
"g2","Itm2b",130.881140419507
"g3","Malat1",689.273163407201
"g3","Cst3",593.263347962952
"g3","Hexb",170.134167083985
"g3","C1qa",128.099671780958
"g3","Tmsb4x",115.501682614345
"g4","Tmsb4x",220.220434601062
"g4","Apoe",210.239356087454
"g4","Ftl1",175.497033994926
"g4","Lgmn",93.9503536745485
"g4","Cst3",92.9847419994873
"g5","Tmsb4x",279.051481726773
"g5","Ftl1",277.545102886309
"g5","Apoe",268.77898351432
"g5","Ctsb",105.401958531166
"g5","C1qb",100.558778377704
"g6","Tmsb4x",230.92335164163
"g6","Apoe",215.421970731696
"g6","Ftl1",206.131284394792
"g6","Cst3",97.6031450234981
"g6","Ctsb",97.5784686010983
"g7","Malat1",588.525573496149
"g7","Cst3",517.976626631873
"g7","Hexb",159.176556597069
"g7","C1qa",133.586818745797
"g7","Tmsb4x",130.674266724059
"g8","Apoe",444.032789780023
"g8","Ftl1",345.175848032301
"g8","Spp1",329.077607872449
"g8","Ctsb",189.938832131497
"g8","Tmsb4x",158.859668757665
"g9","Cst3",471.689111972268
"g9","Malat1",397.122439095587
"g9","Tmsb4x",149.299735791951
"g9","Hexb",143.730271821538
"g9","Ctsd",125.10663262469
"g10","Ftl1",261.7908584967
"g10","Tmsb4x",259.686523956973
"g10","Apoe",208.375461596684
"g10","Ctsb",98.2007561225223
"g10","Lgmn",90.2382365577747
"g11","Cst3",564.84781985473
"g11","Malat1",348.302899576019
"g11","Hexb",187.024681445139
"g11","C1qa",124.590627170432
"g11","Tmsb4x",124.493393787731
"g12","Apoe",468.411710292246
"g12","Ftl1",272.536777830928
"g12","Tmsb4x",178.5663613733
"g12","C1qc",81.0530977397148
"g12","Itm2b",80.7412972629462
"g13","Cst3",283.94317393011
"g13","Tmsb4x",237.401561789168
"g13","Malat1",176.290974332807
"g13","Apoe",151.451218247214
"g13","Ctsd",124.511626228513
"g14","Malat1",604.263526605319
"g14","Apoe",508.938860731358
"g14","Cd74",321.24263626366
"g14","Cst3",220.229321616329
"g14","Tmsb4x",147.043120855135
"g15","Apoe",398.40933774398
"g15","Ftl1",201.458094386289
"g15","Tmsb4x",179.410964383216
"g15","Cst3",160.701437084059
"g15","Ctsb",128.474927468729
