"Cluster","Gene","Expression"
"g1","Apoe",232.897056901492
"g1","Tmsb4x",195.484502613745
"g1","Ftl1",141.81208809493
"g1","Cst3",108.591831022422
"g1","C1qc",105.218023655448
"g2","Tmsb4x",280.17231055902
"g2","Ftl1",279.202859887774
"g2","Apoe",167.673566682254
"g2","Ctsb",99.8675260657334
"g2","Lgmn",76.1628269574143
"g3","Tmsb4x",229.551882929943
"g3","Apoe",204.735320066562
"g3","Ftl1",202.892422091884
"g3","Ctsb",96.2461032920605
"g3","Lgmn",92.670839677609
"g4","Apoe",502.34049039484
"g4","Malat1",368.870758557311
"g4","Cd74",196.086108258509
"g4","Tmsb4x",159.81003281495
"g4","Ftl1",153.512952680334
"g5","Cst3",633.09744896812
"g5","Malat1",599.802025267652
"g5","Hexb",167.81291084632
"g5","Tmsb4x",131.855488782172
"g5","C1qa",126.376784783928
"g6","Spp1",427.807475206433
"g6","Apoe",414.673575238303
"g6","Ftl1",363.180563328415
"g6","Ctsb",184.604691912093
"g6","Tmsb4x",157.032017504243
"g7","Ftl1",278.983103007902
"g7","Tmsb4x",275.886600092535
"g7","Apoe",219.542772214784
"g7","Ctsb",106.654461777636
"g7","Lgmn",94.4152330547635
"g8","Cst3",556.269492366099
"g8","Malat1",345.875079291702
"g8","Hexb",183.806721281038
"g8","Tmsb4x",127.024766416647
"g8","C1qa",125.068101101858
"g9","Cst3",526.665636193717
"g9","Malat1",515.342256855835
"g9","Hexb",156.651792060761
"g9","Tmsb4x",139.542938583279
"g9","C1qa",130.077432242705
"g10","Cst3",338.527233267912
"g10","Malat1",271.055139951294
"g10","Apoe",199.357511011375
"g10","Tmsb4x",185.136871974032
"g10","Ctsd",145.898589823696
"g11","Apoe",406.534525352965
"g11","Ftl1",192.751792249478
"g11","Tmsb4x",184.920090354687
"g11","Cst3",158.876966901365
"g11","Itm2b",124.122133738466
